Date,High,Low,Open,Close,Volume,Adj Close
1973-02-21,5.65625,5.453125,5.453125,5.53125,115200.0,1.826223611831665
1973-02-22,5.515625,5.4375,5.515625,5.4375,178400.0,1.7952710390090942
1973-02-23,5.5,5.40625,5.4375,5.46875,75200.0,1.8055874109268188
1973-02-26,5.421875,5.265625,5.421875,5.375,157600.0,1.7746355533599854
1973-02-27,5.40625,4.84375,5.375,4.859375,248800.0,1.6043939590454102
1973-02-28,5.03125,4.75,4.859375,5.0,460800.0,1.650823950767517
1973-03-01,5.1875,4.8125,5.0,4.8125,287200.0,1.5889174938201904
1973-03-02,4.90625,4.5625,4.8125,4.90625,338400.0,1.6198697090148926
1973-03-05,5.09375,4.90625,4.90625,5.078125,392800.0,1.6766177415847778
1973-03-06,5.21875,5.09375,5.09375,5.21875,175200.0,1.7230459451675415
1973-03-07,5.359375,5.25,5.25,5.296875,280800.0,1.7488402128219604
1973-03-08,5.40625,5.328125,5.328125,5.375,185600.0,1.7746355533599854
1973-03-09,5.390625,5.3125,5.375,5.375,331200.0,1.7746355533599854
1973-03-12,5.4375,5.3125,5.375,5.359375,108000.0,1.769476294517517
1973-03-13,5.5,5.328125,5.359375,5.40625,186400.0,1.7849513292312622
1973-03-14,5.609375,5.5,5.5,5.546875,115200.0,1.8313807249069214
1973-03-15,5.609375,5.5,5.546875,5.5,63200.0,1.8159059286117554
1973-03-16,5.53125,5.375,5.5,5.515625,200800.0,1.8210641145706177
1973-03-19,5.515625,5.34375,5.515625,5.375,100000.0,1.7746355533599854
1973-03-20,5.375,5.21875,5.375,5.265625,131200.0,1.738523244857788
1973-03-21,5.3125,4.890625,5.265625,4.890625,92800.0,1.614711046218872
1973-03-22,5.046875,4.875,4.890625,5.0,111200.0,1.650823950767517
1973-03-23,5.03125,4.921875,5.0,4.953125,154400.0,1.6353466510772705
1973-03-26,5.203125,5.0,5.0,5.203125,88800.0,1.7178879976272583
1973-03-27,5.265625,5.140625,5.203125,5.140625,130400.0,1.6972522735595703
1973-03-28,5.15625,5.0625,5.140625,5.125,155200.0,1.6920925378799438
1973-03-29,5.21875,5.125,5.125,5.140625,272000.0,1.6972522735595703
1973-03-30,5.140625,5.046875,5.140625,5.109375,103200.0,1.686935544013977
1973-04-02,5.109375,5.0,5.109375,5.03125,73600.0,1.6611404418945312
1973-04-03,5.03125,4.90625,5.03125,4.90625,184800.0,1.6198697090148926
1973-04-04,4.90625,4.828125,4.90625,4.84375,143200.0,1.5992352962493896
1973-04-05,4.875,4.78125,4.84375,4.859375,66400.0,1.6043939590454102
1973-04-06,4.90625,3.609375,4.859375,4.90625,49600.0,1.6198697090148926
1973-04-09,5.171875,4.90625,4.90625,5.171875,94400.0,1.7075698375701904
1973-04-10,5.25,5.0625,5.171875,5.15625,96000.0,1.702411413192749
1973-04-11,5.171875,5.03125,5.15625,5.0625,87200.0,1.6714586019515991
1973-04-12,5.078125,4.75,5.0625,4.78125,282400.0,1.5786004066467285
1973-04-13,4.84375,4.625,4.78125,4.625,164000.0,1.5270124673843384
1973-04-16,4.625,4.28125,4.625,4.328125,437600.0,1.428993821144104
1973-04-17,4.234375,3.9375,4.234375,4.234375,1050400.0,1.398041009902954
1973-04-18,4.59375,4.25,4.25,4.5,316800.0,1.5089032649993896
1973-04-19,4.703125,4.515625,4.515625,4.703125,110400.0,1.5770138502120972
1973-04-23,4.703125,4.53125,4.703125,4.625,181600.0,1.5508182048797607
1973-04-24,4.671875,4.5,4.625,4.5625,180800.0,1.5298599004745483
1973-04-25,4.46875,4.15625,4.46875,4.15625,178400.0,1.393640398979187
1973-04-26,4.4375,4.09375,4.15625,4.390625,660000.0,1.4722282886505127
1973-04-27,4.4375,4.1875,4.390625,4.28125,150400.0,1.4355533123016357
1973-04-30,4.40625,4.21875,4.28125,4.375,164000.0,1.466989278793335
1973-05-01,4.375,3.75,4.375,3.828125,477600.0,1.2836157083511353
1973-05-02,3.171875,3.0625,3.171875,3.09375,5872000.0,1.037371277809143
1973-05-03,3.296875,2.875,3.09375,3.125,2609600.0,1.0478497743606567
1973-05-04,3.21875,3.0625,3.125,3.078125,1179200.0,1.0321317911148071
1973-05-07,3.171875,3.03125,3.078125,3.125,659200.0,1.0478497743606567
1973-05-08,3.140625,3.078125,3.125,3.125,340000.0,1.0478497743606567
1973-05-09,3.1875,3.09375,3.125,3.125,358400.0,1.0478497743606567
1973-05-10,3.125,3.0625,3.125,3.125,220000.0,1.0478497743606567
1973-05-11,3.125,3.09375,3.125,3.09375,91200.0,1.037371277809143
1973-05-14,3.09375,2.765625,3.09375,2.796875,607200.0,0.9378253817558289
1973-05-15,2.796875,2.5625,2.796875,2.796875,1154400.0,0.9378253817558289
1973-05-16,2.8125,2.5625,2.796875,2.625,434400.0,0.8801932334899902
1973-05-17,2.59375,2.3125,2.59375,2.46875,560000.0,0.8278014063835144
1973-05-18,2.453125,2.328125,2.453125,2.375,466400.0,0.7963659167289734
1973-05-21,2.40625,2.3125,2.375,2.40625,330400.0,0.8068442940711975
1973-05-22,2.53125,2.40625,2.40625,2.5,312800.0,0.8382800817489624
1973-05-23,2.6875,2.4375,2.5,2.65625,914400.0,0.8906726241111755
1973-05-24,2.90625,2.640625,2.65625,2.90625,448000.0,0.9744993448257446
1973-05-25,3.125,2.90625,2.90625,3.125,417600.0,1.0478497743606567
1973-05-29,3.125,2.953125,3.125,2.96875,384800.0,0.995457112789154
1973-05-30,2.921875,2.6875,2.921875,2.6875,308800.0,0.9011509418487549
1973-05-31,2.71875,2.484375,2.6875,2.53125,452000.0,0.8487582802772522
1973-06-01,2.578125,2.5,2.53125,2.5,156800.0,0.8382800817489624
1973-06-04,2.59375,2.5,2.5,2.5625,272800.0,0.859235942363739
1973-06-05,2.875,2.578125,2.578125,2.84375,214400.0,0.9535431861877441
1973-06-06,2.96875,2.84375,2.84375,2.859375,406400.0,0.9587819576263428
1973-06-07,3.125,2.890625,2.890625,3.09375,596000.0,1.037371277809143
1973-06-08,3.375,3.078125,3.09375,3.28125,399200.0,1.100242257118225
1973-06-11,3.328125,3.09375,3.28125,3.15625,156000.0,1.0583282709121704
1973-06-12,3.28125,3.09375,3.15625,3.21875,160800.0,1.0792845487594604
1973-06-13,3.265625,3.125,3.21875,3.171875,147200.0,1.0635672807693481
1973-06-14,3.1875,3.046875,3.171875,3.0625,268800.0,1.0268933773040771
1973-06-15,3.015625,2.90625,3.015625,3.0,163200.0,1.0059356689453125
1973-06-18,3.0625,2.90625,3.0,3.03125,243200.0,1.016413927078247
1973-06-19,3.171875,2.984375,3.03125,3.171875,300800.0,1.0635672807693481
1973-06-20,3.328125,3.1875,3.1875,3.234375,249600.0,1.084524393081665
1973-06-21,3.203125,3.109375,3.203125,3.15625,191200.0,1.0583282709121704
1973-06-22,3.3125,3.0,3.15625,3.0,366400.0,1.0059356689453125
1973-06-25,2.890625,2.6875,2.890625,2.890625,404800.0,0.9692613482475281
1973-06-26,2.9375,2.75,2.890625,2.875,396800.0,0.9640213847160339
1973-06-27,2.9375,2.859375,2.875,2.90625,192000.0,0.9744993448257446
1973-06-28,3.0,2.90625,2.90625,3.0,164800.0,1.0059356689453125
1973-06-29,3.09375,3.0,3.0,3.03125,135200.0,1.016413927078247
1973-07-02,3.0,2.8125,3.0,2.96875,137600.0,0.995457112789154
1973-07-03,2.96875,2.921875,2.96875,2.953125,86400.0,0.9902180433273315
1973-07-05,3.03125,2.875,2.953125,3.0,101600.0,1.0059356689453125
1973-07-06,3.0,2.890625,3.0,2.90625,54400.0,0.9744993448257446
1973-07-09,3.0,2.90625,2.90625,2.984375,90400.0,1.0006961822509766
1973-07-10,3.09375,2.984375,2.984375,3.0,83200.0,1.0059356689453125
1973-07-11,3.015625,2.9375,3.0,3.0,141600.0,1.0059356689453125
1973-07-12,3.015625,2.9375,3.0,2.984375,216800.0,1.0006961822509766
1973-07-13,2.984375,2.921875,2.984375,2.953125,136800.0,0.9902180433273315
1973-07-16,2.9375,2.8125,2.9375,2.890625,750400.0,0.9692613482475281
1973-07-17,2.96875,2.890625,2.890625,2.890625,492000.0,0.9692613482475281
1973-07-18,2.921875,2.84375,2.890625,2.875,999200.0,0.9640213847160339
1973-07-19,2.875,2.796875,2.875,2.796875,157600.0,0.9378253817558289
1973-07-20,2.796875,2.5625,2.796875,2.59375,488000.0,0.8697154521942139
1973-07-23,2.734375,2.59375,2.59375,2.671875,237600.0,0.8959112167358398
1973-07-24,2.71875,2.59375,2.671875,2.6875,313600.0,0.9011509418487549
1973-07-25,2.875,2.671875,2.6875,2.859375,341600.0,0.9587819576263428
1973-07-26,3.015625,2.90625,2.90625,2.921875,388000.0,0.9797390103340149
1973-07-27,2.96875,2.828125,2.921875,2.96875,232800.0,0.995457112789154
1973-07-30,2.96875,2.890625,2.96875,2.9375,107200.0,0.9849792122840881
1973-07-31,2.96875,2.875,2.9375,2.875,213600.0,0.9640213847160339
1973-08-01,2.890625,2.828125,2.875,2.84375,128800.0,0.9535431861877441
1973-08-02,2.890625,2.828125,2.84375,2.859375,91200.0,0.9587819576263428
1973-08-03,2.890625,2.796875,2.859375,2.828125,168800.0,0.9483039379119873
1973-08-06,2.84375,2.765625,2.828125,2.78125,99200.0,0.9325859546661377
1973-08-07,2.796875,2.71875,2.78125,2.734375,275200.0,0.9168680310249329
1973-08-08,2.65625,2.484375,2.65625,2.5,332000.0,0.8382800817489624
1973-08-09,2.65625,2.5,2.5,2.578125,254400.0,0.8644757866859436
1973-08-10,2.65625,2.484375,2.578125,2.546875,309600.0,0.8539969325065613
1973-08-13,2.5,2.34375,2.5,2.4375,956000.0,0.817322850227356
1973-08-14,2.453125,2.375,2.4375,2.421875,213600.0,0.8120836019515991
1973-08-15,2.59375,2.421875,2.421875,2.59375,403200.0,0.8697154521942139
1973-08-16,2.59375,2.5,2.59375,2.5,291200.0,0.8382800817489624
1973-08-17,2.5625,2.4375,2.5,2.5,93600.0,0.8382800817489624
1973-08-20,2.53125,2.484375,2.5,2.53125,64800.0,0.8487582802772522
1973-08-21,2.546875,2.4375,2.53125,2.453125,125600.0,0.8225616812705994
1973-08-22,2.625,2.453125,2.453125,2.59375,165600.0,0.8697154521942139
1973-08-23,2.71875,2.578125,2.59375,2.703125,474400.0,0.9063891768455505
1973-08-24,2.75,2.609375,2.703125,2.671875,114400.0,0.8959112167358398
1973-08-27,2.703125,2.5625,2.671875,2.671875,84800.0,0.8959112167358398
1973-08-28,2.84375,2.71875,2.71875,2.84375,166400.0,0.9535431861877441
1973-08-29,2.84375,2.484375,2.84375,2.484375,490400.0,0.8330400586128235
1973-08-30,2.515625,2.453125,2.484375,2.46875,204800.0,0.8278014063835144
1973-08-31,2.5,2.4375,2.46875,2.484375,162400.0,0.8330400586128235
1973-09-04,2.5625,2.4375,2.484375,2.5,442400.0,0.8382800817489624
1973-09-05,2.53125,2.4375,2.5,2.4375,320000.0,0.817322850227356
1973-09-06,2.46875,2.375,2.4375,2.375,564000.0,0.7963659167289734
1973-09-07,2.34375,2.25,2.34375,2.265625,498400.0,0.7596904635429382
1973-09-10,2.375,2.25,2.265625,2.3125,200000.0,0.7754091024398804
1973-09-11,2.359375,2.25,2.3125,2.359375,230400.0,0.7911264300346375
1973-09-12,2.40625,2.3125,2.359375,2.34375,764000.0,0.7858871817588806
1973-09-13,2.359375,2.21875,2.34375,2.265625,756000.0,0.7596904635429382
1973-09-14,2.25,2.109375,2.25,2.15625,232800.0,0.7230159044265747
1973-09-17,2.25,2.171875,2.171875,2.1875,140800.0,0.7334946393966675
1973-09-18,2.234375,2.15625,2.1875,2.234375,324800.0,0.7492124438285828
1973-09-19,2.265625,2.171875,2.234375,2.265625,252800.0,0.7596904635429382
1973-09-20,2.46875,2.3125,2.3125,2.46875,496000.0,0.8278014063835144
1973-09-21,2.578125,2.453125,2.46875,2.5,746400.0,0.8382800817489624
1973-09-24,2.59375,2.5,2.5,2.59375,403200.0,0.8697154521942139
1973-09-25,2.734375,2.546875,2.59375,2.546875,682400.0,0.8539969325065613
1973-09-26,2.625,2.46875,2.546875,2.625,388000.0,0.8801932334899902
1973-09-27,2.796875,2.640625,2.640625,2.671875,478400.0,0.8959112167358398
1973-09-28,2.75,2.671875,2.671875,2.734375,178400.0,0.9168680310249329
1973-10-01,2.75,2.671875,2.734375,2.71875,208800.0,0.9116295576095581
1973-10-02,2.734375,2.609375,2.71875,2.671875,232000.0,0.8959112167358398
1973-10-03,2.6875,2.484375,2.671875,2.5,340000.0,0.8382800817489624
1973-10-04,2.515625,2.359375,2.5,2.359375,308000.0,0.7911264300346375
1973-10-05,2.484375,2.328125,2.359375,2.46875,327200.0,0.8278014063835144
1973-10-08,2.515625,2.453125,2.46875,2.484375,540000.0,0.8330400586128235
1973-10-09,2.484375,2.4375,2.484375,2.453125,170400.0,0.8225616812705994
1973-10-10,2.4375,2.390625,2.4375,2.390625,134400.0,0.8016054034233093
1973-10-11,2.390625,2.25,2.390625,2.296875,464000.0,0.7701696753501892
1973-10-12,2.328125,2.234375,2.296875,2.234375,586400.0,0.7492124438285828
1973-10-15,2.203125,2.09375,2.203125,2.15625,579200.0,0.7230159044265747
1973-10-16,2.171875,2.0625,2.15625,2.140625,571200.0,0.7177766561508179
1973-10-17,2.140625,2.0625,2.140625,2.078125,454400.0,0.6968201994895935
1973-10-18,2.0625,1.9375,2.0625,1.96875,1410400.0,0.6601448059082031
1973-10-19,2.0625,1.96875,1.96875,2.03125,368800.0,0.68110191822052
1973-10-22,2.078125,2.0,2.03125,2.046875,251200.0,0.6863416433334351
1973-10-23,2.078125,1.984375,2.046875,2.046875,274400.0,0.6863416433334351
1973-10-24,2.109375,2.0625,2.0625,2.109375,148800.0,0.7072983980178833
1973-10-25,2.09375,2.03125,2.09375,2.046875,207200.0,0.6863416433334351
1973-10-26,2.0625,2.015625,2.046875,2.03125,372800.0,0.68110191822052
1973-10-29,2.0625,2.0,2.03125,2.046875,252000.0,0.6863416433334351
1973-10-30,2.03125,2.0,2.03125,2.03125,126400.0,0.68110191822052
1973-10-31,2.046875,2.0,2.03125,2.046875,158400.0,0.6863416433334351
1973-11-01,2.015625,1.984375,2.015625,2.0,224800.0,0.6706238985061646
1973-11-02,2.015625,1.984375,2.0,2.0,114400.0,0.6706238985061646
1973-11-05,2.015625,1.96875,2.0,1.96875,251200.0,0.6601448059082031
1973-11-06,2.0,1.953125,1.96875,1.96875,72800.0,0.6601448059082031
1973-11-07,2.03125,1.9375,1.96875,1.96875,192800.0,0.6601448059082031
1973-11-08,1.96875,1.890625,1.96875,1.90625,376000.0,0.6391880512237549
1973-11-09,1.875,1.8125,1.875,1.828125,312800.0,0.6129918694496155
1973-11-12,1.859375,1.828125,1.828125,1.84375,166400.0,0.6182310581207275
1973-11-13,1.921875,1.8125,1.84375,1.921875,253600.0,0.6444278359413147
