Date,High,Low,Open,Close,Volume,Adj Close
1986-11-06,7.15625,6.875,7.0625,7.0,17902800.0,2.0975825786590576
1986-11-07,7.0,6.84375,7.0,6.96875,6288000.0,2.0882174968719482
1986-11-10,6.90625,6.75,6.90625,6.78125,3060000.0,2.0320324897766113
1986-11-11,6.875,6.78125,6.78125,6.875,1130000.0,2.0601260662078857
1986-11-12,6.9375,6.8125,6.875,6.875,2082800.0,2.0601260662078857
1986-11-13,6.84375,6.8125,6.84375,6.8125,891200.0,2.041398048400879
1986-11-14,6.875,6.78125,6.8125,6.875,952000.0,2.0601260662078857
1986-11-17,6.84375,6.75,6.8125,6.75,1055200.0,2.0226683616638184
1986-11-18,6.78125,6.59375,6.75,6.625,2426400.0,1.98521089553833
1986-11-19,6.625,6.5,6.625,6.53125,2026000.0,1.9571177959442139
1986-11-20,6.65625,6.53125,6.59375,6.625,3253600.0,1.98521089553833
1986-11-21,6.71875,6.65625,6.71875,6.71875,639600.0,2.0133039951324463
1986-11-24,6.71875,6.65625,6.6875,6.65625,660000.0,1.9945764541625977
1986-11-25,6.71875,6.5625,6.65625,6.6875,1080000.0,2.003939390182495
1986-11-26,6.75,6.5625,6.6875,6.6875,963200.0,2.003939390182495
1986-11-28,6.71875,6.65625,6.6875,6.71875,521600.0,2.0133039951324463
1986-12-01,6.75,6.6875,6.6875,6.75,662000.0,2.0226683616638184
1986-12-02,6.875,6.75,6.75,6.875,1161200.0,2.0601260662078857
1986-12-03,7.0625,6.875,6.875,6.96875,1210400.0,2.0882174968719482
1986-12-04,6.96875,6.875,6.96875,6.90625,1446400.0,2.0694892406463623
1986-12-05,6.90625,6.84375,6.875,6.84375,737600.0,2.050760269165039
1986-12-08,6.84375,6.75,6.8125,6.75,703600.0,2.0226683616638184
1986-12-09,6.78125,6.75,6.75,6.75,444800.0,2.0226683616638184
1986-12-10,6.78125,6.71875,6.75,6.71875,902400.0,2.0133039951324463
1986-12-11,6.78125,6.59375,6.75,6.6875,550400.0,2.003939390182495
1986-12-12,6.75,6.65625,6.6875,6.75,356800.0,2.0226683616638184
1986-12-15,6.75,6.65625,6.71875,6.71875,521200.0,2.0133039951324463
1986-12-16,6.71875,6.625,6.6875,6.65625,835600.0,1.9945764541625977
1986-12-17,6.65625,6.625,6.65625,6.625,803600.0,1.98521089553833
1986-12-18,6.65625,6.53125,6.625,6.59375,1108000.0,1.975846529006958
1986-12-19,6.625,6.5,6.5,6.625,556000.0,1.98521089553833
1986-12-22,6.5625,6.5,6.5625,6.5625,1456000.0,1.9664833545684814
1986-12-23,6.5625,6.5,6.53125,6.5625,574000.0,1.9664833545684814
1986-12-24,6.6875,6.5,6.6875,6.53125,322400.0,1.9571177959442139
1986-12-26,6.5625,6.5,6.5,6.5625,486000.0,1.9664833545684814
1986-12-29,6.53125,6.46875,6.53125,6.53125,693200.0,1.9571177959442139
1986-12-30,6.5625,6.4375,6.53125,6.5625,910000.0,1.9664833545684814
1986-12-31,6.71875,6.5,6.5,6.71875,841600.0,2.0133039951324463
1987-01-02,6.8125,6.625,6.6875,6.8125,264800.0,2.041398048400879
1987-01-05,6.96875,6.8125,6.8125,6.9375,668400.0,2.078852415084839
1987-01-06,6.96875,6.84375,6.875,6.96875,554400.0,2.0882174968719482
1987-01-07,7.15625,6.9375,6.9375,7.15625,748400.0,2.1444034576416016
1987-01-08,7.5625,7.09375,7.125,7.5625,596800.0,2.2661383152008057
1987-01-09,7.75,7.40625,7.53125,7.625,759600.0,2.2848668098449707
1987-01-12,7.78125,7.5625,7.5625,7.625,1196800.0,2.2848668098449707
1987-01-13,7.59375,7.34375,7.5625,7.40625,504800.0,2.219315767288208
1987-01-14,7.59375,7.4375,7.46875,7.5,611600.0,2.2474091053009033
1987-01-15,7.59375,7.46875,7.46875,7.5,463200.0,2.2474091053009033
1987-01-16,7.65625,7.4375,7.53125,7.625,412800.0,2.2848668098449707
1987-01-19,7.625,7.5,7.5625,7.5625,161600.0,2.2661383152008057
1987-01-20,7.625,7.53125,7.59375,7.59375,642000.0,2.337315320968628
